,x,y,z,radius,angle,tier
CDE,-2.4426973464735617,-3.6558460454584747,-0.038121140342892774,4.396814828323266,-2.159833435618547,1.0
CDF,-2.2489699856707297,-2.8877387983945955,0.1389704750801725,3.6601777776770987,-2.2324758897617962,3.0
DFB,-0.5135919513422214,-0.600621515217966,0.07406974649185977,0.7902676110193534,-2.2782442372635945,0.0
EFB,-1.3155151196701935,-0.32650086195303024,0.7552271109997478,1.3554271809791019,-2.8983159781649452,4.0
EFA,-0.27466393182026155,1.235210164117059,1.1629039458107622,1.2653791625362956,1.7895985684773275,3.0
EGA,0.8416696322533889,2.440398020889667,0.5489997098250088,2.5814628159669004,1.2386808013511532,2.0
DGA,1.58041873191731,2.259643795471315,0.19060035968173308,2.7574831732228446,0.9604660694196844,4.0
DFA,0.22479934179374755,0.47604967017380323,0.6367710577563325,0.5264580064387747,1.1296200949678845,0.0
CEF,-1.1778755297027304,-0.9399296483558619,0.6493770061385155,1.5069367960637439,-2.4680802068409564,2.0
FGA,2.167006853795105,3.9999999999999996,0.4672176820189356,4.549276723216005,1.074307821441393,1.0
DFG,-0.22353362293702372,0.5945741812197898,1.627314861849282,0.6352052719842105,1.930404711454606,2.0
EFG,-0.5771406651114847,1.1325381493380253,2.1221837885209887,1.2711152611118026,2.042093864359613,1.0
DEA,-0.4631705011731348,-1.3562779700872865,0.2773432277475928,1.4331841630792126,-1.8998798258964056,4.0
CDA,-0.6665503213925329,-1.0649989225204732,-1.5656619761890938,1.2563884892493475,-2.1300206415652894,2.0
CDG,-1.0142805290943009,-1.3700228574668187,-0.2881526336330548,1.7046194946912234,-2.208085281294365,4.0
CEG,-0.5430553344892147,-0.5416925778939734,0.4978370598532675,0.7670332100128463,-2.3574507782780434,0.0
CEA,-0.17399940176780576,-0.7857371924411013,-0.6445970480754761,0.8047724693357611,-1.7887267229885337,0.0
CFA,1.3848709737695521,0.6143088345046934,0.003629187132007279,1.515005926767266,0.41750692930184635,0.0
CGA,2.1056783569119673,1.8789118068207091,-0.03509099525772635,2.822089814406647,0.7285486018127825,3.0
CGB,1.2233953769862913,0.7919441646933142,-1.1954720350130756,1.457350955817857,0.5744980468933101,2.0
CDB,-1.785773229832386,-2.2957649340766175,-2.3212646520703135,2.9085258570144785,-2.231887879807668,1.0
CEB,-1.1645638312148396,-2.221986985057805,-1.4054510046602449,2.508671975117524,-2.0535447515650254,3.0
CFG,0.777299064682564,1.2969967158014808,1.117733739810476,1.5120827744393546,1.0308866240046148,4.0
FGB,1.510136660595622,2.2564614710682536,0.651745344261128,2.7151668648704455,0.9810074482287628,3.0
EGB,-0.044498670871795425,0.6558270959450991,0.16046148309807673,0.6573350070436981,1.6385437127551734,0.0
EAB,1.0562033811997067,0.07713234370501891,-0.7866664850783619,1.0590160437420775,0.07289851988783094,4.0
DEB,-1.8592748474473104,-3.219162588965429,-0.42764697354528464,3.717514052770322,-2.094555950749969,2.0
DGB,0.28707697480233263,0.3660104419787837,-0.5019652207995463,0.46516323274648835,0.9056767898340781,0.0
CAB,0.8553058720220569,0.409900373049829,-2.831511644894694,0.9484547698977533,0.44690551720141924,1.0
DAB,0.1128604769536508,-0.22936603276762293,-1.885875297669343,0.25562915374769724,-1.113525689464048,3.0
DEF,-2.058685988507525,-0.8676844574795002,1.614253114324465,2.2340690045360505,-2.7427115879683974,1.0
FAB,2.0903758834975217,1.1211433589467923,0.19362434578479096,2.372052648154872,0.4922919486178788,2.0
CFB,0.020522839905754143,-0.5276849968125396,-1.005917259646694,0.5280839353917586,-1.531923700581914,4.0
DEG,-0.7316339183944148,-0.9670424883104914,1.003655611050615,1.2126249893280743,-2.218488060593763,3.0
GAB,3.0418543058268983,2.2510082855359617,1.0394755096404291,3.78416647617797,0.637077997561159,1.0
